idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
73,-8.213231,-64.580231,7,0,1,3.5,1.75,5.25,-8.231457,-62.830326,-8.158552,-69.829946
74,-10.213122,-64.601059,7,0,1,3.5,1.75,5.25,-10.231349,-62.851154,-10.158444,-69.850774
75,-12.213015,-64.621887,7,0,1,3.5,1.75,5.25,-12.231241,-62.871982,-12.158336,-69.871602
76,-14.212906,-64.642715,7,0,1,3.5,1.75,5.25,-14.231132,-62.89281,-14.158227,-69.892431
77,-16.212795,-64.663551,7,0,1,3.5,1.75,5.25,-16.231021,-62.913646,-16.158117,-69.913267
78,-18.212688,-64.68438,7,0,1,3.5,1.75,5.25,-18.230915,-62.934474,-18.15801,-69.934095
79,-20.21258,-64.705208,7,0,1,3.5,1.75,5.25,-20.230806,-62.955303,-20.157901,-69.954923
80,-22.212471,-64.726036,7,0,1,3.5,1.75,5.25,-22.230697,-62.976131,-22.157792,-69.975751
81,-24.212362,-64.746864,7,0,1,3.5,1.75,5.25,-24.230588,-62.996959,-24.157684,-69.99658
82,-26.212254,-64.7677,7,0,1,3.5,1.75,5.25,-26.23048,-63.017795,-26.157575,-70.017415
83,-28.211493,-64.788521,24,0,1,3.5,1.75,5.25,-28.229719,-63.038616,-28.156814,-70.038236
84,-30.211384,-64.809349,24,0,1,3.5,1.75,5.25,-30.22961,-63.059444,-30.156705,-70.059064
85,-32.211277,-64.830177,24,0,1,3.5,4.725,5.25,-32.260488,-63.105434,-32.156598,-70.079893
86,-34.272259,-64.843559,24,0,1,3.5,4.725,5.25,-34.156499,-62.719978,-34.400881,-70.091983
87,-36.559059,-64.587883,24,0,1,3.5,4.725,5.25,-35.628766,-62.25537,-37.592718,-69.73512
88,-38.767265,-63.940876,24,0,1,3.5,4.725,5.25,-38.050428,-62.33882,-40.674862,-68.832049
89,-40.830452,-62.922005,24,0,1,3.5,4.725,5.25,-39.973685,-61.2007229,-43.554587,-67.409943
90,-42.68652,-61.561928,24,0,1,3.5,4.725,5.25,-40.573685,-60.2007229,-46.145225,-65.511593
91,-44.279633,-59.901566,24,0,1,3.5,4.725,5.25,-42.599346,-59.338271,-48.36884,-63.194115
92,-45.547287,-58.075127,24,0,1,3.5,4.725,5.25,-44.017858,-55.800747,-50.02443,-60.816967
93,-46.588009,-56.156765,24,0,1,3.5,4.725,5.25,-44.722461,-54.124346,-51.327507,-58.415008
94,-47.422253,-54.14003,24,0,1,3.5,4.725,5.25,-44.967431,-52.565169,-52.372055,-55.889875
95,-48.040867,-52.047058,24,0,1,3.5,4.725,5.25,-45.445695,-50.947051,-53.146614,-53.269289
